feature,importance
loudness_consistency,0.3306211558464307
duration_sec,0.25607509598462636
pitch_accuracy,0.10352310748755567
chroma_8,0.044518264728770116
rms_energy_mean,0.04404150263873888
note_detection_score,0.025688781578638818
mfcc_8_mean,0.023079198968886223
mfcc_3_std,0.01114619781494869
mfcc_2_mean,0.010987433549229115
spectral_rolloff,0.009562916296761386
spectral_centroid,0.00912356804787319
chroma_11,0.008589860386554463
zero_crossing_rate,0.007303183607231759
mfcc_12_std,0.007097729974002117
mfcc_7_std,0.007089864499794347
chroma_0,0.006382735612643274
rms_energy_std,0.00623358583974813
spectral_bandwidth,0.005919848514029412
mfcc_6_std,0.00548801836679514
spectral_contrast_mean,0.005483389201327323
pitch_cents_deviation,0.005149118649664035
tempo,0.005036771424709565
chroma_1,0.0046086201407023455
mfcc_0_std,0.004224465237244084
chroma_9,0.0036154359447795677
mfcc_5_mean,0.003564192016744189
mfcc_1_mean,0.003332767634840062
chroma_2,0.0032030719954817114
chroma_5,0.0029549305473764702
chroma_3,0.0027949402533764675
mfcc_8_std,0.002740468351714714
mfcc_0_mean,0.0027366041743744685
mfcc_7_mean,0.002720739116862397
mfcc_4_std,0.0025800894569155057
mfcc_3_mean,0.002553970196472567
mfcc_10_std,0.002410107858588107
chroma_10,0.002323453572326833
chroma_6,0.002219960618856395
chroma_7,0.0016663702682755278
mfcc_9_mean,0.0014722274528498093
mfcc_1_std,0.001459812410497265
mfcc_9_std,0.0013200609012199312
chroma_4,0.0012456465230753961
mfcc_10_mean,0.0011830207945729846
mfcc_12_mean,0.0010543537815085311
mfcc_11_mean,0.001052523377937414
mfcc_11_std,0.0008803982299990693
mfcc_6_mean,0.0007613886139213602
mfcc_2_std,0.0005111646272278856
mfcc_4_mean,0.0004888549945650569
mfcc_5_std,0.00017903188873502515
